Code,Name,Ticker,Sector,Market,Has_6Y_Data,Has_5Y_Data,Data_Start,Data_End
5592,GRAND CENTRAL ENTERPRISES BHD,5592.KL,,Main,True,True,2018-01-02,2025-12-02
7010,GRAND HOOVER BERHAD,7010.KL,,Main,True,True,2018-01-02,2025-12-02
0056,GRAND-FLO BERHAD,0056.KL,,Main,True,True,2018-01-02,2025-12-02
0082,GREEN PACKET BERHAD,0082.KL,,Main,True,True,2018-01-02,2025-12-02
0136,GREENYIELD BERHAD,0136.KL,,Main,True,True,2018-01-02,2025-12-01
9962,GROMUTUAL BERHAD,9962.KL,,Main,True,True,2018-01-02,2025-12-01
7077,GSB GROUP BERHAD,7077.KL,,Main,True,True,2018-01-02,2025-12-02
5102,GUAN CHONG BERHAD,5102.KL,,Main,True,True,2018-01-02,2025-12-02
3247,GUH HOLDINGS BERHAD,3247.KL,,Main,True,True,2018-01-02,2025-12-02
7676,GUNUNG CAPITAL BERHAD,7676.KL,,Main,True,True,2018-01-02,2025-12-02
1503,GUOCOLAND (MALAYSIA) BERHAD,1503.KL,,Main,True,True,2018-01-02,2025-12-02
7668,HAI-O ENTERPRISE BERHAD,7668.KL,,Main,True,True,2018-01-02,2025-12-02
5151,HALEX HOLDINGS BERHAD,5151.KL,,Main,True,True,2018-01-02,2025-12-02
7253,HANDAL RESOURCES BERHAD,7253.KL,,Main,True,True,2018-01-02,2025-12-01
3034,HAP SENG CONSOLIDATED BERHAD,3034.KL,,Main,True,True,2018-01-02,2025-12-02
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,5138.KL,,Main,True,True,2018-01-02,2025-12-02
2062,HARBOUR-LINK GROUP BERHAD,2062.KL,,Main,True,True,2018-01-02,2025-12-02
7501,HARN LEN CORPORATION BHD,7501.KL,,Main,True,True,2018-01-02,2025-12-02
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008.KL,,Main,True,True,2018-01-02,2025-12-01
5168,HARTALEGA HOLDINGS BERHAD,5168.KL,,Main,True,True,2018-01-02,2025-12-02
5187,HB GLOBAL LIMITED,5187.KL,,Main,True,True,2018-01-02,2025-12-02
7105,HCK CAPITAL GROUP BERHAD,7105.KL,,Main,True,True,2018-01-02,2025-12-02
3255,HEINEKEN MALAYSIA BERHAD,3255.KL,,Main,True,True,2018-01-02,2025-12-02
5028,HEITECH PADU BERHAD,5028.KL,,Main,True,True,2018-01-02,2025-12-02
5121,HEKTAR REAL ESTATE INVESTMENT TRUST,5121.KL,,Main,True,True,2018-01-02,2025-12-02
4324,HENGYUAN REFINING COMPANY BERHAD,4324.KL,,Main,True,True,2018-01-02,2025-12-02
5095,HEVEABOARD BERHAD,5095.KL,,Main,True,True,2018-01-02,2025-12-02
3298,HEXZA CORPORATION BERHAD,3298.KL,,Main,True,True,2018-01-02,2025-12-02
5072,HIAP TECK VENTURE BERHAD,5072.KL,,Main,True,True,2018-01-02,2025-12-02
5199,HIBISCUS PETROLEUM BERHAD,5199.KL,,Main,True,True,2018-01-02,2025-12-02
8443,HIL INDUSTRIES BERHAD,8443.KL,,Main,True,True,2018-01-02,2025-12-01
5169,HO HUP CONSTRUCTION COMPANY BHD,5169.KL,,Main,True,True,2018-01-02,2025-12-02
9601,HO WAH GENTING BERHAD,9601.KL,,Main,True,True,2018-01-02,2025-12-02
5165,HOCK HENG STONE INDUSTRIES BHD,5165.KL,,Main,True,True,2018-01-02,2025-12-02
5160,HOMERITZ CORPORATION BERHAD,5160.KL,,Main,True,True,2018-01-02,2025-12-02
5819,HONG LEONG BANK BERHAD,5819.KL,,Main,True,True,2018-01-02,2025-12-02
5274,HONG LEONG CAPITAL BERHAD,5274.KL,,Main,True,True,2018-01-02,2025-12-02
1082,HONG LEONG FINANCIAL GROUP BERHAD,1082.KL,,Main,True,True,2018-01-02,2025-12-02
3301,HONG LEONG INDUSTRIES BERHAD,3301.KL,,Main,True,True,2018-01-02,2025-12-02
0185,HSS ENGINEERS BERHAD,0185.KL,,Main,True,True,2018-01-02,2025-12-02
5062,HUA YANG BERHAD,5062.KL,,Main,True,True,2018-01-02,2025-12-02
7013,HUBLINE BERHAD,7013.KL,,Main,True,True,2018-01-02,2025-12-02
5000,HUME INDUSTRIES BERHAD,5000.KL,,Main,True,True,2018-01-02,2025-12-02
5024,HUP SENG INDUSTRIES BERHAD,5024.KL,,Main,True,True,2018-01-02,2025-12-02
8478,HWA TAI INDUSTRIES BERHAD,8478.KL,,Main,True,True,2018-01-02,2025-12-02
4251,I-BERHAD,4251.KL,,Main,True,True,2018-01-02,2025-12-02
5084,IBRACO BERHAD,5084.KL,,Main,True,True,2018-01-02,2025-12-02
