Code,Name,Ticker,Sector
0065,EXCEL FORCE MSC BERHAD,0065.KL,N/A
2984,FACB INDUSTRIES INCORPORATED BERHAD,2984.KL,N/A
7047,FAJARBARU BUILDER GROUP BHD,7047.KL,N/A
5029,FAR EAST HOLDINGS BERHAD,5029.KL,N/A
6041,FARLIM GROUP (MALAYSIA) BHD,6041.KL,N/A
7229,FAVELLE FAVCO BERHAD,7229.KL,N/A
2755,FCW HOLDINGS BERHAD,2755.KL,N/A
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605.KL,N/A
5222,FGV HOLDINGS BERHAD,5222.KL,N/A
6939,FIAMMA HOLDINGS BERHAD,6939.KL,N/A
0149,FIBON BERHAD,0149.KL,N/A
3107,FIMA CORPORATION BERHAD,3107.KL,N/A
9318,FITTERS DIVERSIFIED BERHAD,9318.KL,N/A
5197,FOCUS LUMBER BERHAD,5197.KL,N/A
9172,FORMOSA PROSONIC INDUSTRIES BERHAD,9172.KL,N/A
5277,FOUNDPAC GROUP BERHAD,5277.KL,N/A
3689,FRASER & NEAVE HOLDINGS BHD,3689.KL,N/A
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,7210.KL,N/A
0128,FRONTKEN CORPORATION BERHAD,0128.KL,N/A
9377,FSBM HOLDINGS BERHAD,9377.KL,N/A
7184,G3 GLOBAL BERHAD,7184.KL,N/A
5226,GABUNGAN AQRS BERHAD,5226.KL,N/A
9261,GADANG HOLDINGS BHD,9261.KL,N/A
5398,GAMUDA BERHAD,5398.KL,N/A
5209,GAS MALAYSIA BERHAD,5209.KL,N/A
0078,GD EXPRESS CARRIER BERHAD,0078.KL,N/A
7197,GE-SHEN CORPORATION BERHAD,7197.KL,N/A
3182,GENTING BERHAD,3182.KL,N/A
4715,GENTING MALAYSIA BERHAD,4715.KL,N/A
2291,GENTING PLANTATIONS BERHAD,2291.KL,N/A
3204,GEORGE KENT (MALAYSIA) BERHAD,3204.KL,N/A
5079,GETS GLOBAL BERHAD,5079.KL,N/A
0021,GHL SYSTEMS BERHAD,0021.KL,N/A
1147,GLOBAL ORIENTAL BERHAD,1147.KL,N/A
5220,GLOBALTEC FORMATION BERHAD,5220.KL,N/A
7022,GLOBETRONICS TECHNOLOGY BERHAD,7022.KL,N/A
5020,GLOMAC BERHAD,5020.KL,N/A
7382,GOLDEN LAND BERHAD,7382.KL,N/A
5649,GOLDEN PHAROS BERHAD,5649.KL,N/A
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,7192.KL,N/A
2135,GOPENG BERHAD,2135.KL,N/A
7096,GPA HOLDINGS BERHAD,7096.KL,N/A
5592,GRAND CENTRAL ENTERPRISES BHD,5592.KL,N/A
7010,GRAND HOOVER BERHAD,7010.KL,N/A
0056,GRAND-FLO BERHAD,0056.KL,N/A
0082,GREEN PACKET BERHAD,0082.KL,N/A
0136,GREENYIELD BERHAD,0136.KL,N/A
9962,GROMUTUAL BERHAD,9962.KL,N/A
7077,GSB GROUP BERHAD,7077.KL,N/A
5102,GUAN CHONG BERHAD,5102.KL,N/A
3247,GUH HOLDINGS BERHAD,3247.KL,N/A
7676,GUNUNG CAPITAL BERHAD,7676.KL,N/A
1503,GUOCOLAND (MALAYSIA) BERHAD,1503.KL,N/A
7668,HAI-O ENTERPRISE BERHAD,7668.KL,N/A
5151,HALEX HOLDINGS BERHAD,5151.KL,N/A
7253,HANDAL RESOURCES BERHAD,7253.KL,N/A
3034,HAP SENG CONSOLIDATED BERHAD,3034.KL,N/A
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,5138.KL,N/A
2062,HARBOUR-LINK GROUP BERHAD,2062.KL,N/A
7501,HARN LEN CORPORATION BHD,7501.KL,N/A
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008.KL,N/A
5168,HARTALEGA HOLDINGS BERHAD,5168.KL,N/A
5187,HB GLOBAL LIMITED,5187.KL,N/A
7105,HCK CAPITAL GROUP BERHAD,7105.KL,N/A
3255,HEINEKEN MALAYSIA BERHAD,3255.KL,N/A
5028,HEITECH PADU BERHAD,5028.KL,N/A
